# trial: trial_012.csv
# date: 2026-08-01T17:45:04
# note: gyro axis ID: 3x slow cycle upright-forward-upright-backward, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
6639,-2.10,-2.12,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.06
6660,-2.05,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.08,-0.06
6680,-2.07,-2.12,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
6701,-2.09,-2.11,0.05,0.0,0.0,0.0,0,5000,-0.06,-0.02
6721,-2.15,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.02,0.00
6742,-2.13,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.05,0.02
6762,-2.14,-2.12,0.03,0.0,0.0,0.0,0,5000,-0.02,-0.08
6782,-2.07,-2.12,-0.09,0.0,0.0,0.0,0,5000,-0.02,-0.02
6803,-1.95,-2.12,-0.05,0.0,0.0,0.0,0,5000,-0.02,-0.08
6823,-2.22,-2.12,0.06,0.0,0.0,0.0,0,5004,-0.08,-0.06
6844,-2.18,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.00,-0.03
6863,-2.15,-2.12,-0.06,0.0,0.0,0.0,0,5004,0.02,0.00
6884,-2.10,-2.13,-0.05,0.0,0.0,0.0,0,5004,0.09,-0.02
6904,-1.98,-2.13,-0.05,0.0,0.0,0.0,0,5000,-0.02,-0.03
6925,-1.96,-2.12,0.00,0.0,0.0,0.0,0,5000,-0.02,0.00
6945,-2.06,-2.12,-0.05,0.0,0.0,0.0,0,5004,0.03,0.02
6966,-1.87,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.06,-0.08
6986,-1.97,-2.12,-0.08,0.0,0.0,0.0,0,5004,0.06,-0.03
7007,-2.16,-2.11,0.03,0.0,0.0,0.0,0,5004,-0.02,-0.06
7027,-2.17,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.03,-0.02
7048,-2.13,-2.12,0.03,0.0,0.0,0.0,0,5000,-0.05,0.02
7068,-2.12,-2.11,-0.02,0.0,0.0,0.0,0,5000,-0.03,0.05
7089,-1.97,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.00,0.00
7109,-2.18,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.02,0.00
7130,-2.03,-2.11,0.00,0.0,0.0,0.0,0,5004,-0.09,0.05
7150,-2.02,-2.11,-0.03,0.0,0.0,0.0,0,5000,0.03,0.06
7170,-2.17,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.00,0.08
7190,-1.97,-2.11,-0.05,0.0,0.0,0.0,0,5004,0.02,0.00
7211,-2.09,-2.12,0.08,0.0,0.0,0.0,0,5004,0.00,0.03
7231,-2.19,-2.12,-0.08,0.0,0.0,0.0,0,5004,0.05,0.05
7251,-2.18,-2.12,0.00,0.0,0.0,0.0,0,5000,0.00,0.06
7272,-2.09,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.05,-0.03
7292,-2.17,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.05,-0.03
7313,-2.09,-2.13,0.00,0.0,0.0,0.0,0,5004,0.08,0.00
7333,-2.01,-2.12,-0.02,0.0,0.0,0.0,0,5000,-0.02,0.02
7354,-2.22,-2.12,0.03,0.0,0.0,0.0,0,5000,0.03,-0.06
