# trial: trial_013.csv
# date: 2026-08-01T17:46:25
# note: gyro axis ID take 2: 3x slow cycle fwd-up-back-up, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
5353,-2.08,-2.13,-0.03,0.0,0.0,0.0,0,5004,-0.03,-0.08
5373,-2.08,-2.13,-0.02,0.0,0.0,0.0,0,5004,0.05,-0.03
5394,-2.09,-2.13,-0.03,0.0,0.0,0.0,0,5004,-0.08,0.03
5413,-2.11,-2.13,0.02,0.0,0.0,0.0,0,5000,0.08,-0.02
5434,-2.05,-2.14,0.02,0.0,0.0,0.0,0,5000,-0.02,0.03
5454,-2.24,-2.13,0.00,0.0,0.0,0.0,0,5000,0.11,0.05
5475,-1.91,-2.13,0.00,0.0,0.0,0.0,0,5000,0.03,-0.03
5495,-2.10,-2.13,0.02,0.0,0.0,0.0,0,5000,-0.02,-0.05
5516,-2.20,-2.13,0.11,0.0,0.0,0.0,0,5004,0.08,0.06
5536,-2.17,-2.13,0.05,0.0,0.0,0.0,0,5000,0.03,-0.03
5557,-2.25,-2.13,-0.02,0.0,0.0,0.0,0,5004,0.03,-0.06
5577,-2.27,-2.13,-0.06,0.0,0.0,0.0,0,5000,0.09,0.00
5598,-2.27,-2.13,0.02,0.0,0.0,0.0,0,5004,0.05,0.03
5618,-2.06,-2.13,0.02,0.0,0.0,0.0,0,5004,-0.02,0.02
5639,-2.14,-2.13,0.03,0.0,0.0,0.0,0,5000,0.00,0.00
5659,-1.96,-2.13,0.02,0.0,0.0,0.0,0,5000,-0.03,0.03
5680,-2.05,-2.12,-0.02,0.0,0.0,0.0,0,5004,-0.03,0.03
5699,-2.11,-2.12,0.06,0.0,0.0,0.0,0,5004,0.00,0.03
5720,-2.32,-2.13,-0.02,0.0,0.0,0.0,0,5004,0.05,0.02
5740,-2.10,-2.12,-0.03,0.0,0.0,0.0,0,5000,-0.05,-0.02
5761,-2.12,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.00,-0.05
5781,-2.02,-2.12,0.00,0.0,0.0,0.0,0,5000,-0.02,0.02
5801,-2.04,-2.11,0.02,0.0,0.0,0.0,0,5004,0.02,0.06
5822,-2.01,-2.11,-0.03,0.0,0.0,0.0,0,5004,0.05,0.02
5842,-2.09,-2.11,0.05,0.0,0.0,0.0,0,5004,0.08,0.06
5863,-1.95,-2.10,0.06,0.0,0.0,0.0,0,5000,0.00,-0.03
5883,-2.19,-2.10,-0.08,0.0,0.0,0.0,0,5000,0.00,0.00
5904,-2.11,-2.10,0.06,0.0,0.0,0.0,0,5004,-0.02,-0.02
5924,-2.27,-2.10,0.06,0.0,0.0,0.0,0,5000,0.06,-0.02
5945,-2.14,-2.11,0.03,0.0,0.0,0.0,0,5004,0.06,-0.02
5965,-1.91,-2.10,-0.02,0.0,0.0,0.0,0,5004,0.06,0.02
5986,-2.26,-2.11,0.00,0.0,0.0,0.0,0,5004,0.08,0.06
6005,-2.07,-2.10,0.09,0.0,0.0,0.0,0,5000,0.00,-0.06
6026,-1.97,-2.10,0.02,0.0,0.0,0.0,0,5004,0.00,0.05
6046,-2.30,-2.11,0.02,0.0,0.0,0.0,0,5000,0.06,-0.05
6067,-2.02,-2.11,0.02,0.0,0.0,0.0,0,5000,0.03,0.02
6087,-2.12,-2.11,0.02,0.0,0.0,0.0,0,5000,0.03,0.05
6108,-2.01,-2.11,0.05,0.0,0.0,0.0,0,5004,-0.02,-0.02
6128,-2.12,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.02,0.06
6149,-2.20,-2.12,0.02,0.0,0.0,0.0,0,5000,0.03,0.00
6169,-2.14,-2.12,-0.06,0.0,0.0,0.0,0,5000,0.05,0.06
6190,-2.04,-2.11,0.03,0.0,0.0,0.0,0,5000,0.03,0.08
6210,-2.19,-2.11,0.03,0.0,0.0,0.0,0,5004,0.02,-0.03
6231,-2.19,-2.12,0.02,0.0,0.0,0.0,0,5000,0.06,-0.05
